lago 湖
lakto 奶，乳汁
lando 国家，国土
lango 舌头，口才
larĝa 宽，宽阔
lasi 留下，丢下，让，听任
lasta 最后；最近
laŭ 沿着；按照
lavi 洗
leciono 课，功课
legi 读
legomo 蔬菜
leĝo 法律，准则，法则
lerni 学；学会
lerta 灵巧，熟练，敏捷；机灵；精巧
letero 信
levi （举、抬、提）起；提高，提拔
li 他
libera 自由
libro 书，簿，册
ligi 绑，连，联
ligno 木质部，木材
limo 分界线；范围
lingvo 语言
linio 线
lipo 唇
listo 表，目录，名单
literaturo 文学，关于某个问题的全部文献
litero 字母
lito 床
loĝi 居住
loko 地点，处所
longa 长
ludi 玩，游戏；演奏
lumo 光明，光亮
lundo 星期一
luno 月亮
majo 五月
mal 反
manĝi 吃
maniero 方法，作风；[~oj]礼貌，风俗
manki 缺少
mano 手
mantelo 披风，斗篷；外套
mardo 星期二
marko 记号；商标
maro 海
marŝi 行进，步行，跋涉
marto 三月
mastro 主人
maŝino 机器，机械
mateno 早晨
materialo 材料，物资；器材，设备
meblo 家具
medio 环境
mem 本人；亲自；自愿
membro 肢；成员，会员
memoro 记忆，记忆，存储
mendi 定购，预定（事后付款）
menso 精神，心灵；智能，智力
meriti 值得，应得
merkredo 星期三
metalo 金属
meti 放置
metodo 方法，办法，法
metro 米
mezo 中间
mezuri 量，测量
mi 我
miksi 使混合；配置，调制
mil 千
miliono 兆（百万）
militi 作战
minus 减；负
minuto 分钟
miri 惊奇
moderna 现代，近代
moki 嘲笑，奚落
mola 软
momento 片刻，瞬间
monato 月，月份
mondo 世界
mono 钱
monto 山
montri 出示，指出，表明
morgaŭ 明天
morti 死亡
movi 移动
multa 大量；许多
muro 墙
muŝo 蝇属昆虫（苍蝇）
muzeo 博物馆，博物院；博物馆的珍藏品
muziko 音乐
n [词尾]宾格
nacio 民族；国家
naĝi 游；漂
naski 生育
naturo 自然；本性
naŭ 九
nazo 鼻子
ne 不，没有
nebulo 雾
necesa 必需；必然
neĝo 雪
nek 也不
nenia 什么样的…也没有
neniam 从来没有，永不
nenie 没有一处
neniel 怎样也不，绝不，一点也不
nenio 没有什么东西，没有什么事情
nepo （外）孙
nepre 一定地，非…不可，必然的
neŭtrala 中立的
nevo 侄子，外甥
ni 我们
nigra 黑色；黑暗，深色
nivelo 水平面；标高；水平
nokto 夜，夜间
nombro 数（目）；编号
nomo 名字
nordo 北，北方
normala 正常，正态；师范
noti 注释，记下，写下
nova 新
novembro 十一月
nu （提起注意）
nubo 云
nulo 零
numero 号，期
nun 现在
nur 仅仅，只有
o [词尾]名词
obei 服从，听从
objekto 东西，事情，对象
obl …倍的
odori 发出气味
ofico 职位，公职；职能
ofte 经常地
ok 八
okazi 发生
okcidento 西，西方
oktobro 十月
okulo 眼睛
okupi 占领；占；[~o]工作，职业；[~ita]忙碌
ol 比
oleo 油（统称）
on …分之一的
oni 人们
onklo 叔，伯，舅，姨（姑）父
ont 主动将来分词（表将要）
opinio 意见
ordinara 平常，普通
ordo 次序，条理，秩序
ordoni 命令，吩咐
orelo 耳朵
organizi 组织
oriento 东，东方
originala 最初的，原始的
oro 金；金钱
os [词尾]直陈式将来时
osto 骨，骨头
ot 被动将来分词（表将要）
ovo 卵，蛋
paco 和平，平安
pagi 付钱；偿还
paĝo 页（一面）
pako 包裹
palpi 摸，摸索；抚摸
pano 面包；生计
pantalono 裤子，长裤
papero 纸；文件；证件
pardoni 饶恕，原谅
parko 公园；临时汽车停放场
paro 一双，一对
paroli 说话，演讲，交谈
parto （整体的）一部分
pasi 走过，通过，度过，消失
paŝi 举步，迈步；[~o]脚步，步骤
patro 父亲
peco 片，块；件
pendi 挂，垂
peni 努力，费力
pensi 思索；考虑；觉得；想要
pentri 画，绘
per 以，用
perdi 失去
perfekta 完美，完善；地道的；完成体
periodo 周期，时期，时代，阶段
permesi 允许，准许
persono 人，个人
peti 请求，请
pezi 重…，有…重量
piedo 脚
piki 刺，戳，叮
pilko 球
plaĉi 讨…喜欢
plafono 天花板
planko 地板
plano 平面图；计划
planto 植物；作物
plasto 塑料
plej 最
plena 满，完全
plendi 诉苦，抱怨，告状
plezuro 愉快，快乐
pli 更加，更
plori 哭
plu 继续
plumo 羽毛，钢笔（尖）
pluraj 好几个，不止一个
plus 加，正
pluvo 雨
po 各
poemo 诗
poento 分数，分
poezio 写诗艺术，作诗法；诗歌种类，风格
polico 公安、警察部门；其人员总称
politiko 政治，政治学；政策
ponto 桥
popolo 人民，平民
populara 普及的，通俗；大众的；流行；风行
por 为，为了，给
pordo 门
porti 携带；搬运，载
post 在…后
postuli 要求
poŝo 衣袋
poŝto 邮车，邮政
poto 壶、罐、锅等
povi 能；可以
praktiko 实践，实际
pravi 正确
precipe 特别是, 尤其是, 主要地
preciza 精确，精密，确切
preferi 宁愿，更喜欢
preĝi 祈祷，祷告
prelegi 讲课，（知识性的）演讲、报告
premi 压，挤；压迫
premio 奖品
preni 取，抓；对待
prepari 准备，准备好
presi 印刷；付印
preskaŭ 几乎，差不多
preta 准备好的
preter 从…旁经过
prezenti 摆上；介绍；演出
prezidi 主持，做主席
prezo 价格
pri 关于
principo 本原，起源；原理，原则
printempo 春天
pro 由于，因为
problemo 问题；习题；难题
produkti 生产，产生
profunda 深，深刻，深远，深沉
programo 程序表，节目单；大纲，提纲；议程；程序
progresi 进步，发展
projekto 打算，设想，计划；方案，草案
proksima 近
promeni 散步，溜达
promesi 答应，许诺，有…的指望
proponi 建议，提议；提供，推荐
propra 特有的；自己的
provi 试，尝试
prunti 借
publiko 公众；观（听）众，读者
puni 惩罚；处罚；制裁
punkto 点
pupo 洋娃娃，布袋木偶；蛹
pura 纯；干净
puŝi 推
radio 光线，射线
rado 轮
rajto 权利
rakonti 讲，叙述
rando 边，边缘
rango 级别，等级，官阶
rapida 快
raporti 转告；汇报；宣布；陈述，报告；报道
re 返回；再，重新
redakti 草拟，拟订，编写，撰写；编辑，校订
regi 统治；治理；主宰
regiono 地区，区域
regulo 规则，规定，准则
reĝo 王，国王
reklamo 广告
rekomendi 推荐，介绍；力劝
rekta 直，直达，直接
religio 宗教
renkonti 碰到；对付
respondi 回答，对应，对…负责（任）
resti 停留；仍然；剩下
revuo 检阅；述评，综述；杂志
rezulti 是…的结果，由…产生
ricevi 收到，得到，受
riĉa 富裕，丰富
ridi 笑
rigardi 看；看待
rilati 与…有关系；对待
rimarki 觉察，发觉
rimedo 手段，方法
ripeti 重复
ripozi 休息
rivero 河
rizo 稻属植物；稻粒，大米；米饭
robo 无袖长衫，长袍；（妇幼）长外衣，连衣裙，长罩衫
romano 长篇小说；传奇故事
rompi 打破，毁坏
rondo 圆；团体
rozo 蔷薇属植物（玫瑰、月季等）
rubriko 栏目，专栏
ruĝa 红色
